Item No.,Call Log,Call Date,Date Reported,Type of Case,Type,Priority,Application System,Reported By,Called By,Call Received By,Project Manager,System Analyst,Analyst Programmer,Estimated Mandays,Target Completion Date,Actual Completion Date,Status,Impact Analysis and Resolution,Invoice No.,Invoice Date,On-site Log
1,,,,,,,VREMIS,,,,,,,,,,,,,,
2,,,,,,,VREMIS,,,,,,,,,,,,,,
3,,,,,,,VREMIS,,,,,,,,,,,,,,
4,,,,,,,VREMIS,,,,,,,,,,,,,,
5,,,,,,,VREMIS,,,,,,,,,,,,,,
6,,,,,,,VREMIS,,,,,,,,,,,,,,
7,,,,,,,VREMIS,,,,,,,,,,,,,,
8,,,,,,,VREMIS,,,,,,,,,,,,,,
9,,,,,,,VREMIS,,,,,,,,,,,,,,
10,,,,,,,VREMIS,,,,,,,,,,,,,,
